30,10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,I,I,I,,,,,,
,,,,,,I,I,,,,,I,I,I,,,,,,
,,,,,,I,I,,,,,,I,I,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,I,I,I,I,,,,,,,,,,I,I,,,,,
,I,I,I,I,,,,,,,,,,,I,I,,,,
,I,I,I,I,,,,,,,,,,,,I,I,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,W,,,,,,W,,,,,,,W,,,,,
,,,,,,,,,,,W,,,,,,,W,,
,,,W,,,,,,,,,,,,,,,,,W
,,,,,,,W,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,W,,,,,,,,,,,,,
,,,,,,,P,,,,,,,,,,,,,
,,,,,,,,,,,,,,W,,,,,,
